gene_id	isoform	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp100645_c0	seq1.p1	1	2	6	0	1	3
comp100648_c0	seq1.p1	5	9	4	0	1	0
comp100648_c0	seq2.p1	5	5	14	0	0	0
comp100648_c0	seq3.p1	8	13	3	0	0	0
comp100669_c0	seq2.p1	119	115	129	105	65	12
comp100676_c0	seq1.p1	2	0	2	4	0	5
comp10068_c0	seq1.p1	0	0	5	2	1	1
comp10068_c1	seq1.p1	1	0	2	0	3	1
comp100696_c0	seq1.p1	8	5	2	2	0	2
comp100700_c0	seq1.p1	9	4	2	2	3	0
comp100717_c0	seq1.p1	1	0	0	5	0	1
comp100717_c0	seq2.p1	1	1	1	3	1	3
comp100730_c0	seq2.p1	7056	5034	6853	32	12	1
comp100741_c0	seq1.p1	0	1	2	0	1	3
comp100758_c0	seq1.p1	378	364	215	333	661	498
comp100760_c0	seq1.p1	5	3	2	5	5	6
comp100761_c0	seq1.p1	292	264	199	342	332	317
comp100771_c0	seq1.p1	4594	4641	3705	1154	2344	2604
comp100782_c0	seq1.p1	2	5	5	8	4	6
comp10080_c0	seq3.p1	1	6	0	0	1	0
comp100819_c0	seq1.p1	1	1	0	1	15	0
comp100821_c0	seq1.p1	207	181	174	162	197	268
comp100821_c0	seq2.p1	593	501	541	595	411	873
comp100825_c1	seq1.p1	0	3	0	4	7	5
comp100828_c0	seq1.p1	0	0	0	0	60	0
comp100835_c0	seq1.p1	0	1	0	2	4	3
comp100837_c0	seq1.p1	911	1010	657	1044	1330	1948
comp100843_c0	seq2.p1	4	6	2	4	0	11
comp100852_c0	seq1.p1	3	7	0	2	0	0
comp100853_c0	seq2.p1	0	1	2	3	6	9
comp100862_c0	seq2.p1	95	55	87	189	241	220
comp100881_c0	seq1.p1	459	460	438	431	658	836
comp100896_c0	seq1.p1	1	1	0	1	6	1
comp100905_c0	seq1.p1	413	335	422	512	631	1179
comp100915_c0	seq1.p1	2243	1859	1718	1122	935	1740
comp100919_c0	seq1.p1	1	3	1	0	0	3
comp100923_c0	seq1.p1	2	4	1	10	3	9
comp100930_c0	seq1.p1	107	85	79	77	119	129
comp100930_c0	seq3.p1	321	307	231	181	268	402
comp100940_c0	seq1.p1	4	9	2	0	1	1
comp100941_c0	seq2.p1	4	0	8	7	1	6
comp100941_c1	seq1.p1	9	4	8	9	3	15
comp100945_c0	seq1.p1	0	0	54	0	0	0
comp100949_c0	seq2.p1	1	0	466	0	192	353
comp10094_c1	seq1.p1	1	0	0	0	3	6
comp100951_c0	seq1.p1	4	5	1	8	0	1
comp100951_c2	seq1.p1	2	3	3	2	0	0
comp100957_c1	seq1.p1	5	2	1	4	2	0
comp100959_c0	seq1.p1	4	0	8	0	0	1
comp100969_c0	seq1.p1	0	0	0	3	7	5
comp100984_c0	seq1.p1	0	1	3	2	3	4
comp100986_c0	seq1.p1	4	6	1	5	3	3
comp100991_c0	seq1.p1	100	96	74	215	391	302
comp100991_c0	seq2.p1	47	46	32	109	218	178
comp100992_c1	seq1.p1	2	0	2	4	3	2
comp10099_c0	seq1.p1	0	0	0	3	1	2
comp101010_c0	seq1.p1	2	2	7	2	2	2
comp101018_c0	seq3.p1	1	0	1	3	4	5
comp10101_c0	seq1.p1	2	1	2	4	1	1
comp101021_c0	seq1.p1	3	2	3	4	1	2
comp101031_c0	seq1.p1	115	83	107	191	150	189
comp101035_c0	seq1.p1	0	0	0	1	7	2
comp101037_c1	seq1.p1	10	3	0	0	2	0
comp101079_c0	seq1.p1	1	6	3	6	13	22
comp101083_c0	seq1.p1	10	5	3	4	3	4
comp101092_c0	seq1.p1	2	3	2	2	11	5
comp101097_c1	seq1.p1	0	0	0	0	22	0
comp101101_c0	seq2.p1	6	12	0	0	0	0
comp101101_c0	seq3.p1	21	23	0	0	0	0
comp101101_c1	seq2.p1	11	7	0	0	0	0
comp101126_c0	seq1.p1	73	56	28	16	8	28
comp101129_c0	seq1.p1	15	14	0	6	0	0
comp101133_c0	seq1.p1	1034	948	866	659	861	970
comp101135_c0	seq1.p1	168	122	64	0	0	0
comp101136_c0	seq1.p1	4	3	2	3	4	2
comp10113_c0	seq1.p1	3	1	0	2	2	0
comp101141_c0	seq1.p1	3	4	4	4	3	10
comp101141_c1	seq1.p1	5	0	2	16	7	5
comp101143_c0	seq1.p1	284	245	215	372	475	524
comp101145_c0	seq2.p1	35	23	35	60	15	45
comp101149_c0	seq1.p1	927	933	915	546	1126	2105
comp101154_c0	seq1.p1	1	2	1	1	2	1
comp101187_c0	seq1.p1	182	153	162	157	303	416
comp101188_c0	seq1.p1	0	0	0	0	12	0
comp101202_c0	seq1.p1	2	6	3	4	6	4
comp101211_c0	seq1.p1	8	18	1	0	1	1
comp101211_c0	seq2.p1	5	12	3	0	14	3
comp101211_c0	seq3.p1	2	3	0	0	8	0
comp101221_c0	seq1.p1	11	4	10	18	15	8
comp101222_c0	seq1.p1	4	4	3	2	3	4
comp101224_c0	seq1.p1	0	0	0	0	15	1
comp101228_c0	seq1.p1	1064	960	1161	611	569	1008
comp101232_c0	seq1.p1	2	1	2	5	2	1
comp101234_c0	seq1.p1	1	3	2	1	0	2
comp101235_c0	seq1.p1	4	0	0	2	5	4
comp101235_c2	seq1.p1	0	0	0	5	0	5
comp101237_c0	seq1.p1	1	4	4	4	1	8
comp101242_c0	seq2.p1	214	185	159	237	322	504
comp101247_c0	seq1.p1	610	531	626	186	301	284
comp10125_c0	seq1.p1	5	3	0	1	0	0
comp101263_c0	seq1.p1	6	3	2	2	1	3
comp101276_c0	seq2.p1	46	20	92	62	108	121
comp101290_c0	seq1.p1	183	83	157	133	108	256
comp101299_c0	seq1.p1	79	41	78	698	339	448
comp101301_c0	seq1.p1	0	1	1	1	2	2
comp101305_c1	seq1.p1	0	3	1	1	3	2
comp101320_c0	seq1.p1	623	537	451	1116	1489	1085
comp10133_c0	seq1.p1	1	4	3	0	1	0
comp101342_c0	seq1.p1	1	5	0	0	2	10
comp101363_c0	seq2.p1	0	0	0	0	16	0
comp101365_c0	seq1.p1	9	12	13	0	0	0
comp101368_c1	seq1.p1	9	3	0	13	1	0
comp101378_c0	seq1.p1	5	4	2	15	11	9
comp101381_c1	seq1.p1	7	3	11	0	0	0
comp101393_c0	seq1.p1	8	5	3	1	2	0
comp101397_c1	seq1.p1	0	0	1	1	0	8
comp101405_c0	seq1.p1	8	7	95	10	8	138
comp10140_c0	seq1.p1	4	9	1	2	4	15
comp101410_c0	seq1.p1	1124	526	1035	367	645	1671
comp101416_c0	seq1.p1	7	10	0	1	0	0
comp101420_c0	seq1.p1	1481	1173	1476	1554	1008	1796
comp101430_c0	seq1.p1	7	3	4	4	5	3
comp101436_c0	seq2.p1	0	5	2	1	0	2
comp101438_c0	seq1.p1	1239	2219	2540	524	466	107
comp101440_c0	seq2.p1	0	0	1	1	7	2
comp101454_c0	seq3.p1	1	0	2	1	1	0
comp101463_c0	seq1.p1	3	2	3	1	0	3
comp101463_c0	seq2.p1	6	10	0	3	6	2
comp101463_c2	seq1.p1	3	2	2	3	6	1
comp101467_c0	seq2.p1	482	271	308	535	617	456
