gene_id	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp10099_c0	0	0	0	3	1	2
comp101010_c0	2	2	7	2	2	2
comp101018_c0	1	0	1	3	4	5
comp10101_c0	2	1	2	4	1	1
comp101021_c0	3	2	3	4	1	2
comp101031_c0	115	83	107	191	150	189
comp101035_c0	0	0	0	1	7	2
comp101037_c1	10	3	0	0	2	0
comp101079_c0	1	6	3	6	13	22
comp101083_c0	10	5	3	4	3	4
comp101092_c0	2	3	2	2	11	5
comp101097_c1	0	0	0	0	22	0
comp101101_c0	27	35	0	0	0	0
comp101101_c1	11	7	0	0	0	0
comp101126_c0	73	56	28	16	8	28
comp101129_c0	15	14	0	6	0	0
comp101133_c0	1034	948	866	659	861	970
comp101135_c0	168	122	64	0	0	0
comp101136_c0	4	3	2	3	4	2
comp10113_c0	3	1	0	2	2	0
comp101141_c0	3	4	4	4	3	10
comp101141_c1	5	0	2	16	7	5
comp101143_c0	284	245	215	372	475	524
comp101145_c0	35	23	35	60	15	45
comp101149_c0	927	933	915	546	1126	2105
comp101154_c0	1	2	1	1	2	1
comp101187_c0	182	153	162	157	303	416
comp101188_c0	0	0	0	0	12	0
comp101202_c0	2	6	3	4	6	4
comp101211_c0	15	33	4	0	23	4
comp101221_c0	11	4	10	18	15	8
comp101222_c0	4	4	3	2	3	4
comp101224_c0	0	0	0	0	15	1
comp101228_c0	1064	960	1161	611	569	1008
comp101232_c0	2	1	2	5	2	1
comp101234_c0	1	3	2	1	0	2
comp101235_c0	4	0	0	2	5	4
comp101235_c2	0	0	0	5	0	5
comp101237_c0	1	4	4	4	1	8
comp101242_c0	214	185	159	237	322	504
comp101247_c0	610	531	626	186	301	284
comp10125_c0	5	3	0	1	0	0
comp101263_c0	6	3	2	2	1	3
comp101276_c0	46	20	92	62	108	121
comp101290_c0	183	83	157	133	108	256
comp101299_c0	79	41	78	698	339	448
comp101301_c0	0	1	1	1	2	2
comp101305_c1	0	3	1	1	3	2
comp101320_c0	623	537	451	1116	1489	1085
comp10133_c0	1	4	3	0	1	0
comp101342_c0	1	5	0	0	2	10
comp101363_c0	0	0	0	0	16	0
comp101365_c0	9	12	13	0	0	0
comp101368_c1	9	3	0	13	1	0
comp101378_c0	5	4	2	15	11	9
comp101381_c1	7	3	11	0	0	0
comp101393_c0	8	5	3	1	2	0
comp101397_c1	0	0	1	1	0	8
comp101405_c0	8	7	95	10	8	138
comp10140_c0	4	9	1	2	4	15
comp101410_c0	1124	526	1035	367	645	1671
comp101416_c0	7	10	0	1	0	0
comp101420_c0	1481	1173	1476	1554	1008	1796
comp101430_c0	7	3	4	4	5	3
comp101436_c0	0	5	2	1	0	2
comp101438_c0	1239	2219	2540	524	466	107
comp101440_c0	0	0	1	1	7	2
comp101454_c0	1	0	2	1	1	0
comp101463_c0	9	12	3	4	6	5
comp101463_c2	3	2	2	3	6	1
comp101467_c0	482	271	308	535	617	456
comp101478_c0	829	947	1238	7	30	0
comp10147_c0	0	0	0	0	6	0
comp101480_c0	1	0	0	5	1	2
comp101481_c0	1	0	140	2	0	182
comp101482_c0	1	2	2	5	0	0
comp101497_c0	7	7	3	7	3	10
comp101500_c0	3	5	3	6	3	4
comp101520_c0	8	0	0	1	4	0
comp101523_c0	9	2	0	15	5	1
comp101523_c1	2	5	0	22	7	7
comp101525_c0	3	3	2	0	1	1
comp101526_c0	1537	1117	1276	921	461	592
comp101558_c0	2	0	2	5	5	4
