gene_id	gameto_5	gameto_6	gameto_7	sporo_7	sporo_8	sporo_9
Pp3c10_12770	33	25	25	10	5	13
Pp3c10_12790	1905	1495	2079	524	230	525
Pp3c10_12800	5	1	2	0	0	0
Pp3c10_12880	2	1	3	2	0	1
Pp3c10_12890	423	392	479	1355	575	1108
Pp3c10_12894	2	2	2	0	0	0
Pp3c10_1290	1535	1395	1731	755	108	334
Pp3c10_12900	25	9	28	0	2	4
Pp3c10_12910	766	702	600	177	57	106
Pp3c10_12918	0	0	0	1	0	1
Pp3c10_12920	27	12	11	8	5	12
Pp3c10_12940	0	0	0	0	0	0
Pp3c10_13010	795	604	787	909	405	588
Pp3c10_13020	122	79	122	312	122	244
Pp3c10_13023	5	1	3	7	1	3
Pp3c10_13030	3609	3040	3793	18	12	26
Pp3c10_13060	1439	1120	1302	4313	1832	1720
Pp3c10_13070	2042	1588	2171	2274	1558	1973
Pp3c10_13099	1	2	1	70	32	17
Pp3c10_13100	1	0	0	41	16	6
Pp3c10_13120	0	0	0	0	0	0
Pp3c10_13170	1933	1600	1803	174	13	126
Pp3c10_13192	14	6	11	1	2	4
Pp3c10_13240	1018	817	1190	2146	1121	1399
Pp3c10_13270	79	63	49	90	12	13
Pp3c10_13280	13	9	8	165	5	23
Pp3c10_13290	26	29	35	111	9	50
Pp3c10_13310	74	69	47	14	10	19
Pp3c10_13350	0	0	0	0	0	0
Pp3c10_13360	163	126	159	291	97	124
Pp3c10_13370	275	235	302	320	100	186
Pp3c10_13383	104	118	74	64	7	20
Pp3c10_13400	0	0	0	4	0	4
Pp3c10_13530	103	98	162	2735	1068	2346
Pp3c10_13539	11	7	19	816	450	436
Pp3c10_13540	65	52	102	4975	1756	2014
Pp3c10_13550	0	0	0	0	1	1
Pp3c10_13560	118	109	156	359	294	294
Pp3c10_13570	87	97	91	85	0	6
Pp3c10_1360	0	5	2	70	11	12
Pp3c10_13600	2448	2146	2609	1826	238	462
Pp3c10_13610	239	208	304	852	862	720
Pp3c10_13640	171	172	248	355	51	173
Pp3c10_13670	1593	1479	1813	640	196	368
Pp3c10_13680	0	3	0	81	179	47
Pp3c10_13690	418	428	266	525	329	460
Pp3c10_1370	34	37	46	522	70	95
Pp3c10_13710	0	0	2	15	1	2
Pp3c10_13719	2	2	2	65	12	13
Pp3c10_13720	1	2	2	74	10	12
Pp3c10_13730	463	363	572	495	321	549
Pp3c10_13800	2618	2194	2538	3473	374	669
Pp3c10_13820	912	763	1032	813	314	606
Pp3c10_13830	0	0	0	0	0	0
Pp3c10_13860	1	0	1	0	0	1
Pp3c10_1390	436	306	453	313	187	333
Pp3c10_13900	2533	2391	2805	838	197	476
Pp3c10_13960	278	225	299	3810	724	854
Pp3c10_13970	260	240	310	3524	807	899
Pp3c10_13990	33	25	45	582	62	90
Pp3c10_1400	2087	1676	2664	1939	713	1217
Pp3c10_14020	105	124	123	2021	1058	1718
Pp3c10_14050	0	0	0	0	0	0
Pp3c10_14060	3734	2865	3798	527	136	250
Pp3c10_14070	1165	909	1262	514	129	215
Pp3c10_14080	712	616	790	1123	456	1204
Pp3c10_14090	669	527	632	574	248	365
Pp3c10_14096	638	514	609	565	236	350
Pp3c10_1410	0	0	0	0	0	0
Pp3c10_14100	1278	1013	1203	1288	662	921
Pp3c10_14120	0	0	1	75	54	1
Pp3c10_14130	0	0	0	7	9	0
Pp3c10_14160	3513	3194	3555	3227	1754	2842
Pp3c10_14250	3375	2956	3393	3744	1663	2899
Pp3c10_14262	9	1	8	25	1	1
Pp3c10_14310	574	511	496	286	53	109
Pp3c10_1440	404	296	409	400	184	246
Pp3c10_14410	7	4	1	15	4	3
Pp3c10_14420	186	209	335	7684	1576	3141
Pp3c10_14430	20	27	41	30048	15269	35243
Pp3c10_14440	456	438	582	629	463	786
Pp3c10_14450	1757	1661	1742	1060	990	1323
Pp3c10_14460	5	5	6	113	14	34
Pp3c10_14480	268	227	364	1133	286	544
Pp3c10_14490	1490	1110	1770	1032	552	649
Pp3c10_14520	230	197	237	150	34	40
Pp3c10_14590	3517	3153	3081	4552	1010	1559
Pp3c10_1460	334	318	339	10	22	2
Pp3c10_14640	0	0	0	62	6	47
Pp3c10_14650	240	204	186	635	161	260
Pp3c10_14660	12	21	10	154	20	65
Pp3c10_14700	0	0	0	12	9	0
Pp3c10_14710	3940	3795	2609	302	193	552
Pp3c10_14730	18	20	32	1	272	702
Pp3c10_14790	114	82	115	0	0	3
Pp3c10_14800	268	224	305	504	125	175
Pp3c10_14810	268	224	305	505	125	175
Pp3c10_14820	0	0	0	0	0	0
Pp3c10_14830	0	0	0	0	0	0
Pp3c10_14840	463	370	361	236	62	220
Pp3c10_14850	670	519	676	926	213	384
Pp3c10_1490	1396	1071	887	342	105	215
Pp3c10_150	0	0	0	0	0	0
Pp3c10_15080	2	0	4	64	33	6
Pp3c10_15084	2	0	4	66	36	7
Pp3c10_15107	0	0	0	0	0	0
Pp3c10_15110	49	53	26	7	2	10
Pp3c10_15120	1723	1779	846	580	415	551
Pp3c10_15130	993	841	873	1431	938	908
Pp3c10_15140	4662	4654	5365	7203	3339	4425
Pp3c10_15150	654	598	769	933	264	413
Pp3c10_15160	0	0	0	0	0	0
Pp3c10_15170	370	343	491	512	332	357
Pp3c10_15180	1150	1101	1250	1051	818	961
Pp3c10_15200	170	182	335	203	62	95
Pp3c10_1530	95	130	154	2	4	57
Pp3c10_1531	95	130	154	2	4	57
Pp3c10_15340	2404	2009	2615	1242	545	1051
Pp3c10_15350	219	163	170	365	80	167
Pp3c10_15380	239	207	242	454	260	334
Pp3c10_15390	760	686	743	1649	651	1102
Pp3c10_15400	0	0	1	0	3	0
Pp3c10_15440	643	518	664	498	131	282
Pp3c10_15450	102	143	164	250	61	137
Pp3c10_15470	4	0	0	982	154	155
Pp3c10_15490	4	2	7	3	4	2
Pp3c10_15500	159	61	168	68	2	1
Pp3c10_15520	4794	4418	2145	228	71	124
Pp3c10_15570	406	377	360	603	79	238
Pp3c10_15580	1766	1660	1649	198	93	165
Pp3c10_15640	65	42	60	1093	753	892
Pp3c10_15650	429	453	466	600	328	572
Pp3c10_15660	1035	1034	1142	183	48	156
Pp3c10_15670	203	132	185	445	189	274
Pp3c10_15700	0	0	0	1	1	0
Pp3c10_15710	1093	953	1130	1103	203	549
Pp3c10_15730	1061	847	929	1411	874	1290
Pp3c10_15740	19	19	27	11	1	6
Pp3c10_15760	14	8	4	8	1	0
Pp3c10_1580	1241	1226	1438	45	33	434
Pp3c10_15820	1	0	0	1	0	0
Pp3c10_15840	14	17	11	1	1	0
Pp3c10_15850	0	0	0	0	0	0
Pp3c10_15860	184	157	239	347	126	67
Pp3c10_15867	2	0	2	3	1	4
Pp3c10_15870	1	2	0	3	2	1
Pp3c10_15879	166	150	187	86	18	65
Pp3c10_15900	1015	983	1050	613	191	359
Pp3c10_15909	4	3	0	11	5	3
Pp3c10_15920	43	37	47	60	62	73
Pp3c10_15930	603	505	678	786	284	597
Pp3c10_15937	603	505	678	786	284	597
Pp3c10_15950	0	1	2	296	49	103
Pp3c10_15957	0	0	0	20	3	5
Pp3c10_15958	0	0	1	67	6	16
Pp3c10_15960	445	383	569	727	220	423
Pp3c10_15970	308	249	242	5	2	6
Pp3c10_15980	655	581	704	614	343	614
Pp3c10_1600	6	15	29	1216	156	137
Pp3c10_16000	3055	3155	3252	1903	635	1232
Pp3c10_16010	2469	2444	2704	3248	1111	1632
Pp3c10_16031	0	1	0	0	0	3
Pp3c10_16040	414	377	442	1013	294	305
Pp3c10_16050	1	1	0	2	3	6
Pp3c10_16070	1	0	0	1	1	1
Pp3c10_16080	1134	930	932	210	162	174
Pp3c10_16090	825	697	1064	516	411	651
Pp3c10_16100	234	188	216	231	161	298
Pp3c10_16118	0	0	0	0	0	0
Pp3c10_16120	0	0	0	0	0	0
Pp3c10_16150	0	0	0	2	0	0
Pp3c10_16160	0	0	0	0	0	0
Pp3c10_16170	846	788	880	959	393	706
Pp3c10_16180	438	445	474	284	94	190
Pp3c10_1620	4	3	6	15	3	6
Pp3c10_16260	4	5	7	38	22	11
Pp3c10_1627	9	14	15	58	24	20
Pp3c10_16280	60	53	67	115	27	57
Pp3c10_16290	990	940	1043	28	15	23
Pp3c10_1631	16	18	20	72	26	22
Pp3c10_16310	0	0	0	0	0	0
Pp3c10_16330	1465	1239	1034	971	271	605
Pp3c10_16340	2	0	2	1	0	0
Pp3c10_16341	0	0	0	2	0	0
Pp3c10_16350	10	3	5	85	54	87
Pp3c10_16370	1160	1125	1280	2375	872	1291
Pp3c10_16390	490	419	619	346	252	407
Pp3c10_16400	3088	2495	3706	2266	446	788
Pp3c10_16403	3088	2495	3706	2266	446	788
Pp3c10_16420	275	191	264	145	134	237
Pp3c10_16450	122	132	184	325	86	142
Pp3c10_16540	1266	1077	1781	3989	1745	2093
Pp3c10_16550	262	242	460	1961	437	679
Pp3c10_16560	71	68	91	365	304	493
Pp3c10_16570	836	732	905	487	119	262
Pp3c10_16580	1455	1467	1637	2305	66	174
Pp3c10_16590	564	599	715	644	11	49
Pp3c10_1660	0	0	0	0	4	1
Pp3c10_16600	506	482	540	721	18	47
Pp3c10_16640	631	462	790	2161	354	731
Pp3c10_16670	0	0	1	0	0	0
Pp3c10_16679	0	0	0	1	0	0
Pp3c10_16720	11	12	20	2	0	0
Pp3c10_16780	1021	1087	982	2535	953	1764
Pp3c10_16800	1213	717	1532	1	53	14
Pp3c10_16830	0	0	0	0	0	0
Pp3c10_16840	0	0	1	0	0	0
Pp3c10_16850	131	86	181	335	106	158
Pp3c10_16860	878	888	832	604	179	363
Pp3c10_16880	442	386	424	114	79	126
Pp3c10_16910	0	1	0	0	1	0
Pp3c10_16930	2225	2122	2325	2197	393	772
Pp3c10_16940	0	0	0	0	0	0
Pp3c10_16960	54	69	66	6	0	0
Pp3c10_16970	1653	1317	1538	680	75	247
Pp3c10_16990	3	7	8	209	16	67
Pp3c10_170	615	463	677	698	230	388
Pp3c10_17004	1	3	1	36	2	13
